Mã CP,Sàn,Tên DN,Nhóm,Loại sự kiện,Chi tiết,Tỷ lệ,Tiền mặt (đ/cp),Ngày GDKHQ,Ngày ĐKCC (chốt quyền),Ngày thực hiện
MWG,HOSE,CTCP Đầu tư Thế giới Di động,ĐHĐCĐ / Lấy ý kiến,Đại hội Đồng Cổ đông,MWG - Tổ chức ĐHĐCĐ thường niên 2026,,,2026-03-13,2026-03-16,2026-04-18
HPG,HOSE,CTCP Tập đoàn Hòa Phát,ĐHĐCĐ / Lấy ý kiến,Đại hội Đồng Cổ đông,HPG - Tổ chức ĐHĐCĐ thường niên 2026,,,2026-03-17,2026-03-18,2026-04-21
PNJ,HOSE,CTCP Vàng bạc Đá quý Phú Nhuận,ĐHĐCĐ / Lấy ý kiến,Đại hội Đồng Cổ đông,PNJ - Tổ chức ĐHĐCĐ thường niên 2026,,,2026-03-17,2026-03-18,2026-04-22
VNM,HOSE,CTCP Sữa Việt Nam,ĐHĐCĐ / Lấy ý kiến,Đại hội Đồng Cổ đông,VNM - Tổ chức ĐHĐCĐ thường niên 2026,,,2026-03-17,2026-03-18,2026-04-22
DGC,HOSE,CTCP Tập đoàn Hóa chất Đức Giang,ĐHĐCĐ / Lấy ý kiến,Đại hội Cổ đông Bất thường,DGC - Tổ chức ĐHĐCĐ bất thường 2026,,,2026-04-09,2026-04-10,2026-06-30
PNJ,HOSE,CTCP Vàng bạc Đá quý Phú Nhuận,Cổ tức / Phát hành,Phát hành cổ phiếu,Phát hành cổ phiếu - Cổ phiếu thưởng tỉ lệ 50.0%,50%,,2026-04-23,2026-04-24,
HPG,HOSE,CTCP Tập đoàn Hòa Phát,Cổ tức / Phát hành,Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt - Cả năm 2025 - 500 VND,5%,500.0,2026-05-11,2026-05-12,2026-06-03
HPG,HOSE,CTCP Tập đoàn Hòa Phát,Cổ tức / Phát hành,Phát hành cổ phiếu,Phát hành cổ phiếu - Trả Cổ tức bằng Cổ phiếu tỉ lệ 10.0%,10%,,2026-05-25,2026-05-26,
FPT,HOSE,CTCP FPT,Cổ tức / Phát hành,Trả cổ tức bằng tiền mặt,"Trả cổ tức bằng tiền mặt - Đợt 2 2025 - 1,000 VND",10%,1000.0,2026-05-28,2026-05-29,2026-06-10
FPT,HOSE,CTCP FPT,Cổ tức / Phát hành,Phát hành cổ phiếu,Phát hành cổ phiếu - Phát hành cho CBCNV tỉ lệ 0.5%,0.499%,,,,
FPT,HOSE,CTCP FPT,Cổ tức / Phát hành,Phát hành cổ phiếu,Phát hành cổ phiếu - Cổ phiếu thưởng tỉ lệ 10.0%,10%,,,,
MWG,HOSE,CTCP Đầu tư Thế giới Di động,Cổ tức / Phát hành,Phát hành cổ phiếu,Phát hành cổ phiếu - Phát hành cho CBCNV tỉ lệ 0.2%,0.2%,,,,
MWG,HOSE,CTCP Đầu tư Thế giới Di động,Cổ tức / Phát hành,Phát hành cổ phiếu,Phát hành cổ phiếu - Phát hành cho CBCNV tỉ lệ 0.5%,0.5%,,,,
PNJ,HOSE,CTCP Vàng bạc Đá quý Phú Nhuận,Cổ tức / Phát hành,Phát hành cổ phiếu,Phát hành cổ phiếu - Phát hành cho CBCNV tỉ lệ 0.7%,0.7%,,,,
